place_type,internal_id,parent_id,name_en,name_bn,latitude,longitude,website
Mahalla,OSM_node_141466267,,Uttara,উত্তরা,23.8693275,90.3926893,
Mahalla,OSM_node_141466268,,Ashulia,আশুলিয়া,23.8969898,90.3289577,
Mahalla,OSM_node_264032548,,Baridhara,বারিধারা,23.8028663,90.4196081,
Mahalla,OSM_node_264889126,,Bashundhara Residential Area,বসুন্ধরা আবাসিক এলাকা,23.8189265,90.4368229,
Mahalla,OSM_node_364769764,,Niketan,নিকেতন,23.7733159,90.409755,
Mahalla,OSM_node_379839732,,Gabtali,গাবতলী,23.7826372,90.3399148,
Mahalla,OSM_node_387552183,,Adabar,আদাবর,23.7745693,90.3552923,
Mahalla,OSM_node_387552378,,Lalmatia,লালমাটিয়া,23.7567008,90.3691554,
Mahalla,OSM_node_387807673,,Dilkusha,দিলকুশা,23.7272736,90.4162497,
Village,OSM_node_388902950,,Srirampur,শ্রীরামপুর,23.9199764,90.1273935,
Village,OSM_node_388903419,,Kalampur,কালামপুর,23.9183438,90.1549357,
Village,OSM_node_388906792,,Islampur,ইসলামপুর,23.9108749,90.2272146,
Village,OSM_node_388908026,,Nobinagar,নবীনগর,23.9123657,90.2605169,
Mahalla,OSM_node_393921009,,Babu bazar,বাবু বাজার,23.7099344,90.402599,
Mahalla,OSM_node_393921256,,Tanti bazar,তাঁতি বাজার,23.7121498,90.4078798,
Mahalla,OSM_node_394216065,,Islampur,ইসলামপুর,23.7102696,90.4068341,
Mahalla,OSM_node_396674646,,Faridabad,ফরিদাবাদ,23.696653,90.4238625,
Mahalla,OSM_node_396676228,,Bangladesh Bank Colony,বাংলাদেশ ব্যাংক কলোনী,23.6972061,90.4259042,
Mahalla,OSM_node_396686487,,Dayaganj,দয়াগঞ্জ,23.7104417,90.4246393,
Mahalla,OSM_node_396693325,,Farashganj,ফরাশগঞ্জ,23.7031127,90.4160782,
Mahalla,OSM_node_396694530,,Dailpotti,ডালপট্টি,23.7046919,90.4168812,
Mahalla,OSM_node_396699842,,Bangla Bazar,বাংলাবাজার,23.7062942,90.4121696,
Mahalla,OSM_node_396703556,,Lakshmibazar,লক্ষ্মীবাজার,23.7082186,90.4155455,
Mahalla,OSM_node_396707096,,Kulutola,কুলুটোলা,23.7064981,90.4188205,
Mahalla,OSM_node_590055605,,Jatrabari,যাত্রাবাড়ী,23.7093978,90.433806,
Mahalla,OSM_node_642560699,,Banasree,বনশ্রী,23.7617123,90.4312774,
Village,OSM_node_821928816,,Katchpur,কাঁচপুর,23.7024038,90.5233286,
Village,OSM_node_825618800,,Mission Para,মিশন পাড়া,23.6249561,90.502334,
Village,OSM_node_826125224,,Nobigonj,নবীগঞ্জ,23.6318552,90.5199687,
Village,OSM_node_2381200832,,Garobazar,গারোবাজার,24.5377053,90.1337717,
Village,OSM_node_2447157332,,Mawa,মাওয়া,23.4722843,90.2627571,
Mahalla,OSM_node_2453935433,,Puler Ghat,পুলের ঘাট,24.3482411,90.7537816,
Village,OSM_node_2501247464,,Nolin,নলীন,24.5516354,89.8288935,
Village,OSM_node_2503720803,,Paiska,পাইস্কা,24.7031036,89.8895375,
Village,OSM_node_2551994559,,Pakulla,পাকুল্লা,24.1414438,90.0201295,
Village,OSM_node_2551998759,,Karatia,করটিয়া,24.2222679,89.9781439,https://karatiaup.tangail.gov.bd/
Mahalla,OSM_node_2822082507,,Khilgaon,খিলগাঁও,23.7506546,90.4232818,
Village,OSM_node_2895149455,,Chandra,চন্দ্রা,24.0472727,90.2384011,
Mahalla,OSM_node_3006696194,,Polashi,পলাশী,23.7270762,90.3893378,
Mahalla,OSM_node_3104950871,,Miraspur,মিরাসপাড়া,23.892026,90.418379,
Mahalla,OSM_node_3104950872,,East Arishpur,পূর্ব আর্শিপুর,23.887975,90.409803,
Mahalla,OSM_node_3104950873,,Purbo Arichpur,পূর্ব আরিচপুর,23.8885075,90.4054148,
Mahalla,OSM_node_3312614548,,Akhrabazar,আখড়া বাজার,24.4371206,90.7779465,
Mahalla,OSM_node_3313809466,,Bhuiyan Estate,ভূঁইয়া এস্টেট,23.7301358,90.3618185,
Mahalla,OSM_node_3313837648,,Bottola,বটতলা,23.7295225,90.3683751,
Mahalla,OSM_node_3313848052,,Nobipur,নবীপুর,23.7317582,90.3668771,
Mahalla,OSM_node_3313905928,,Maneshwar,মানেশ্বর,23.7397932,90.3688435,
Mahalla,OSM_node_3313941307,,Sikdar Estate,শিকদার এস্টেট,23.7402647,90.3576183,
Mahalla,OSM_node_3313951250,,Nimtola,নিমতলা,23.7431995,90.3641602,
Mahalla,OSM_node_3313961085,,Hazaribagh Tannery Area,হাজারীবাগ ট্যানারি এলাকা,23.7354762,90.3677441,
Mahalla,OSM_node_3332768487,,Shikaritola Slum,শিকারিতলা বস্তি,23.7353903,90.3636415,
Village,OSM_node_3372060157,,Rauti,রাউতি,24.5719513,90.8503119,
Village,OSM_node_3372064649,,Jawar,জাওয়ার,24.5680472,90.9259487,
Village,OSM_node_3372064651,,Raituti,রাইতুতি,24.5756777,90.9732399,
Mahalla,OSM_node_3374308396,,Hazaribagh,হাজারীবাগ,23.7319838,90.368413,
Village,OSM_node_3392195217,,Kanaksar,কনকসার,23.4696943,90.3152446,
Village,OSM_node_3392927645,,Kumarvog,কুমারভোগ,23.4718006,90.2787904,
Mahalla,OSM_node_3396191063,,Green Model Town,গ্রীন মডেল টাউন,23.7280141,90.4512815,
Mahalla,OSM_node_3396195793,,Paltan,পল্টন,23.7313082,90.4120882,
Mahalla,OSM_node_3808575870,,Kallyanpur,কল্যাণপুর,23.7806848,90.3613321,
Village,OSM_node_3977920850,,Arua,আরুয়া,23.7873388,89.8140639,
Village,OSM_node_3977920855,,বহুরিয়া,বহুরিয়া,24.0501958,90.1159261,
Village,OSM_node_3977928758,,Baliati,বালিয়াটি,23.9930891,90.0383447,
Village,OSM_node_3977928759,,Balla,বাল্লা,23.7789125,89.8792125,
Village,OSM_node_3977928774,,Dhaljora,ঢালজোড়া,24.0381546,90.1595515,
Village,OSM_node_3977928785,,Fulbaria,ফুলবাড়িয়া,24.1892148,90.3087797,
Village,OSM_node_3977928788,,Gayhata,গয়হাটা,24.075018,89.8470117,
Village,OSM_node_3977928790,,Gorai,গোড়াই,24.0883932,90.1476685,
Village,OSM_node_3977928797,,Lauhati,লাউহাটি,24.0855696,89.9424014,
Village,OSM_node_3977928798,,Madhyapara,মধ্যপাড়া,24.0812599,90.3107752,
Village,OSM_node_3977928799,,Mamudnagar,মামুদনগর,24.0345866,89.9140775,
Mahalla,OSM_node_3977928800,,Mawna,মাওনা,24.2191932,90.4105256,
Village,OSM_node_3977928802,,Mokna,মোকনা,24.048412,89.9536333,
Village,OSM_node_3977928803,,Mouchak,মৌচাক,24.0273773,90.2958494,
Village,OSM_node_3977928805,,Pakutia,পাকুটিয়া,24.0298292,89.9970959,
Village,OSM_node_3977928808,,Salimabad,সলিমাবাদ,24.0420198,89.8235712,
Village,OSM_node_3977928811,,Srifoltoli,শ্রীফলতলী,24.0672894,90.2183155,
Village,OSM_node_3977928812,,Sutrapur,সূত্রাপুর,24.0799224,90.1865732,
Village,OSM_node_3977965253,,Balia,বালিয়া,23.9852867,90.0767141,
Village,OSM_node_3977978758,,Bayra,বায়রা,23.8195007,90.0910388,https://www.facebook.com/ManikganjPage
Village,OSM_node_3977978766,,Jadabpur,যাদবপুর,24.0097233,90.1200695,
Village,OSM_node_3977978772,,Kashimpur,কাশিমপুর,23.9879493,90.3171133,
Village,OSM_node_3977978779,,Nali,নালী,23.8017785,89.9715575,
Village,OSM_node_3991994803,,Kulla,কুল্লা,23.8771402,90.2138357,
Village,OSM_node_3991994814,,Raypur,রায়পুর,23.5520935,89.6864248,
Mahalla,OSM_node_4009099573,,Polashbagh,পলাশবাগ,23.7627479,90.418997,
Village,OSM_node_4081598354,,Kurerpara,কুড়েরপাড়,23.9976541,90.93788,
Village,OSM_node_4081599589,,Algi,আলগী,23.9964583,90.945315,
Village,OSM_node_4081604201,,Asrabpur,আশ্রাবপুর,24.0016334,90.9243402,
Village,OSM_node_4254543517,,Nalām,নলাম,23.9365557,90.2339028,
Mahalla,OSM_node_4362144964,,Taltola,তালতলা,23.8337717,90.3851783,
Mahalla,OSM_node_4408556637,,Nijhum Residential Area,নিঝুম আবাসিক এলাকা,23.7370106,90.3701235,
Mahalla,OSM_node_4422610156,,Gopibag,গোপীবাগ,23.7218199,90.4250575,
Village,OSM_node_4424266066,,Gobindashi,গোবিন্দাসী,24.4502029,89.8266542,
Village,OSM_node_4861923215,,Aricha,আরিচা,23.8360868,89.7808635,
Mahalla,OSM_node_4861939545,,Daulatdia Ghat,দৌলতদিয়া ঘাট,23.7689222,89.785566,
Village,OSM_node_4861939552,,Paturia,পাটুরিয়া,23.7888496,89.8098957,
Mahalla,OSM_node_4907143421,,Fakirapool,ফকিরাপুল,23.7331201,90.4172013,
Mahalla,OSM_node_4914582442,,Mohammadpur,মোহাম্মদপুর,23.7636683,90.363244,
Mahalla,OSM_node_4954685546,,Dokkhin Khan,দক্ষিণ খান,23.8546911,90.4254829,
Mahalla,OSM_node_5054370483,,Taltola,তালতলা,23.7837151,90.3750935,
Mahalla,OSM_node_5118172307,,Mohakhali,মহাখালী,23.7794681,90.4046308,
Mahalla,OSM_node_5162463804,,Dhanmondi,ধানমন্ডি,23.7479124,90.3745866,
Mahalla,OSM_node_5166963838,,Banani,বনানী,23.790321,90.4076959,
Mahalla,OSM_node_5167233263,,Badda,বাড্ডা,23.7842159,90.4305051,
Mahalla,OSM_node_5185291301,,Matikata,মাটিকাটা,23.8196962,90.3936832,
Mahalla,OSM_node_5219243567,,Modhu City,মধু সিটি,23.7339077,90.3258603,
Mahalla,OSM_node_5532503893,,Borpul,বড়পুল,24.4686045,90.7709446,
Village,OSM_node_5540947373,,Char Syedpur,চর সৈয়দপুর,23.5826708,90.5062133,
Mahalla,OSM_node_5622663432,,Ashutia,আশুটিয়া,24.3915705,90.6991815,
Mahalla,OSM_node_5626209880,,binnati Bazar,বিন্নাতি বাজার,24.40014,90.7509166,
Village,OSM_node_5626563974,,Chouddashata,চৌদ্দশত,24.3823318,90.7597974,
Mahalla,OSM_node_5630927776,,kurighta,কুরিঘাটা,24.4226402,90.6522321,
Mahalla,OSM_node_5647961208,,32,৩২,24.4237471,90.7799408,
Mahalla,OSM_node_5675787338,,Mothkhola,মঠখোলা,24.2507381,90.6836857,
Mahalla,OSM_node_5861304725,,Mirzapur,মির্জাপুর,24.3082804,90.6450981,
Mahalla,OSM_node_5875247944,,Methor Potti,মেথর পট্টি,24.421275,90.6521221,
Mahalla,OSM_node_6046778831,,Board Bazar,বোর্ড বাজার,23.9452074,90.3825171,
Mahalla,OSM_node_6051444481,,Natun Bazar,নতুন বাজার,23.5284862,90.4513684,
Mahalla,OSM_node_6051468397,,Purba Khilpara,পূর্ব খিলপাড়া,23.532888,90.4627981,
Mahalla,OSM_node_6051468398,,Paschim Khilpara,পশ্চিম খিলপাড়া,23.5289509,90.4564253,
Village,OSM_node_6051468399,,South Betka,দক্ষিণ বেতকা,23.534934,90.4515865,
Village,OSM_node_6051468400,,Mamudatpur,মামুদাতপুর,23.539316,90.4521659,
Village,OSM_node_6051468402,,Uttar Betka,উত্তর বেতকা,23.5446815,90.4600086,
Village,OSM_node_6052300240,,Shonarong,সোনারং,23.524571,90.4630228,
Village,OSM_node_6052300261,,Bindusar,বিন্দুসার,23.5509122,90.4703935,
Village,OSM_node_6052301309,,Abdullahpur,আবদুল্লাহপুর,23.5542881,90.473867,
Village,OSM_node_6064117498,,Enayetnagar,এনায়েতনগর,23.5611935,90.4860094,
Village,OSM_node_6064176163,,Sudan Chor,সুদার চর,23.5588167,90.4791308,
Mouza,OSM_node_6064232290,,Dofa Bari,দফা বাড়ি,23.5630543,90.4867467,
Village,OSM_node_6064232291,,Nagar Kasba,নগর কাসবা,23.5650899,90.4890427,
Mahalla,OSM_node_6064232292,,Mastan Bazar,মাস্তান বাজার,23.5621495,90.4921219,
Village,OSM_node_6064232293,,Kamlaghat,কামলাঘাট,23.5695939,90.4884633,
Mahalla,OSM_node_6074037576,,Mahmudnagar,মাহমুদনগর,23.6955494,90.4787904,
Village,OSM_node_6083172917,,Changuri,চাংগুরী,23.5347155,90.4458175,
Village,OSM_node_6106732471,,Balai,বলই,23.5089256,90.4356007,
Village,OSM_node_6106732473,,Kurmira,কুরমিরা,23.4978865,90.441051,
Mahalla,OSM_node_6148978998,,Gowalpara,গোওয়ালপাড়া,23.7087551,90.6588685,
Mahalla,OSM_node_6149619951,,Pulerghat,পুলের ঘাট,24.3467545,90.7555756,
