internal_id,place_type,name_en,name_bn,parent_id,parent_name,website,wikipedia_title,wikipedia_url,r2_image_url,original_image_url,summary,enriched
DIST_1,District,Comilla,কুমিল্লা,DIV_1,,www.comilla.gov.bd,কুমিল্লা জেলা,https://bn.wikipedia.org/wiki/%E0%A6%95%E0%A7%81%E0%A6%AE%E0%A6%BF%E0%A6%B2%E0%A7%8D%E0%A6%B2%E0%A6%BE%20%E0%A6%9C%E0%A7%87%E0%A6%B2%E0%A6%BE,https://pub-d8ff02e059814132b7f971370e65283d.r2.dev/places/districts/comilla_dist_1.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/97/Aerial_view_of_Comilla_city_from_a_high-rise_building_2.jpg/960px-Aerial_view_of_Comilla_city_from_a_high-rise_building_2.jpg?utm_source=bn.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"কুমিল্লা জেলা (আদিনাম কমলাঙ্ক এর অপভ্রংশ, যার অর্থ পদ্মফুলের দীঘি) বাংলাদেশের দক্ষিণ-পূর্বাঞ্চলের চট্টগ্রাম বিভাগের একটি প্রশাসনিক অঞ্চল ও মহানগরী। এটি ঢাকা থেকে ৯৬ কিলোমিটার ও চট্টগ্রাম থেকে ১৪৮ কিলোমিটার দূরে অবস্থিত। খাদি কাপড় ও রসমালাইয়ের জন্য বিখ্যাত। উপজেলার সংখ্যানুসারে কুমিল্লা বাংলাদেশের একটি “এ” শ্রেণিভুক্ত একটি জেলা।",True
DIST_2,District,Feni,ফেনী,DIV_1,,www.feni.gov.bd,ফেনী জেলা,https://bn.wikipedia.org/wiki/%E0%A6%AB%E0%A7%87%E0%A6%A8%E0%A7%80%20%E0%A6%9C%E0%A7%87%E0%A6%B2%E0%A6%BE,https://pub-d8ff02e059814132b7f971370e65283d.r2.dev/places/districts/feni_dist_2.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/92/Asgar_Ali_Chowdhury_Mosque.JPG/960px-Asgar_Ali_Chowdhury_Mosque.JPG?utm_source=bn.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"ফেনী জেলা বাংলাদেশের দক্ষিণ-পূর্বাঞ্চলের চট্টগ্রাম বিভাগের একটি প্রশাসনিক অঞ্চল। ফেনীর প্রধান প্রশাসনিক কেন্দ্র হলো ফেনী শহর, যা ফেনী সদর উপজেলার মুখ্য প্রশাসনিক কেন্দ্র। এর প্রকৃত নাম শমশের নগর। ১৯৮৪ সালের ৬ ডিসেম্বর এর আগ পর্যন্ত এটি বৃহত্তর নোয়াখালীর একটি মহকুমা ছিল। 
বাংলাদেশ পরিসংখ্যান ব্যুরোর (বিবিএস) 'বাংলাদেশের দারিদ্র্য মানচিত্র ২০২২' অনুযায়ী, ফেনী জেলা বর্তমানে দেশের ধনী জেলাগুলোর মধ্যে পঞ্চম স্থানে রয়েছে। জেলাটিতে দারিদ্র্যের হার ১০.৫ শতাংশ, যা দেশের অন্যান্য জেলার তুলনায় কম। ফেনী জেলার অর্থনৈতিক সমৃদ্ধির পেছনে প্রবাসীদের পাঠানো রেমিট্যান্স একটি গুরুত্বপূর্ণ ভূমিকা পালন করছে।",True
DIST_3,District,Brahmanbaria,ব্রাহ্মণবাড়িয়া,DIV_1,,www.brahmanbaria.gov.bd,ব্রাহ্মণবাড়িয়া জেলা,https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%B9%E0%A7%8D%E0%A6%AE%E0%A6%A3%E0%A6%AC%E0%A6%BE%E0%A6%A1%E0%A6%BC%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE%20%E0%A6%9C%E0%A7%87%E0%A6%B2%E0%A6%BE,https://pub-d8ff02e059814132b7f971370e65283d.r2.dev/places/districts/brahmanbaria_dist_3.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2c/Waterarea_at_Akhaura_in_Brahmanbaria_District_%2802%29.jpg/960px-Waterarea_at_Akhaura_in_Brahmanbaria_District_%2802%29.jpg?utm_source=bn.wikipedia.org&utm_campaign=api&utm_content=thumbnail,ব্রাহ্মণবাড়িয়া জেলা বাংলাদেশের দক্ষিণ-পূর্বাঞ্চলের চট্টগ্রাম বিভাগের একটি প্রশাসনিক অঞ্চল। উপজেলার সংখ্যানুসারে ব্রাহ্মণবাড়িয়া বাংলাদেশের একটি “এ” শ্রেণীভুক্ত জেলা। শিক্ষা ও সংস্কৃতির পীঠস্থান রূপে পরিচিত ব্রাহ্মণবাড়িয়া জেলাকে বাংলাদেশের সাংস্কৃতিক রাজধানী বলা হয়ে থাকে। স্থানীয়রা আঞ্চলিক ভাষায় জেলাটিকে প্রায়ই বাউনবাইরা বলে থাকে।,True
DIST_4,District,Rangamati,রাঙ্গামাটি,DIV_1,,www.rangamati.gov.bd,রাঙ্গামাটি জেলা,https://bn.wikipedia.org/wiki/%E0%A6%B0%E0%A6%BE%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BE%E0%A6%AE%E0%A6%BE%E0%A6%9F%E0%A6%BF%20%E0%A6%9C%E0%A7%87%E0%A6%B2%E0%A6%BE,https://pub-d8ff02e059814132b7f971370e65283d.r2.dev/places/districts/rangamati_dist_4.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1f/Sajek_Valley_01.jpg/960px-Sajek_Valley_01.jpg?utm_source=bn.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"রাঙ্গামাটি জেলা বাংলাদেশের দক্ষিণ-পূর্বাঞ্চলে অবস্থিত চট্টগ্রাম বিভাগের একটি প্রশাসনিক অঞ্চল। পূর্ব রাঙ্গামাটি, খাগড়াছড়ি ও বান্দরবান একসাথে একটি জেলা ছিল। ১৮৬০ সালের আগে এটি চট্টগ্রাম জেলার অংশ ছিল। ১৮৬০ সালে চট্টগ্রামকে ভেঙে পার্বত্য চট্টগ্রাম গঠন করে ব্রিটিশ সরকার। ১৯৮৪ সালে এরশাদ সরকারের আমলে পার্বত্য চট্টগ্রামকে ভেঙে  জেলা খাগড়াছড়ি ও বান্দরবান নামে নতুন দুটি জেলা গঠন করা হয় এবং পার্বত্য চট্টগ্রাম জেলা বাকি অংশ অর্থাৎ চন্দ্রঘোনা ও রাঙ্গামাটি সদর এই দুই মহকুমা নিয়ে  রাঙামাটি জেলা আত্মপ্রকাশ করে। রাঙ্গামাটি একটি পার্বত্য জেলা। এটি বাংলাদেশের বৃৃৃহত্তম জেলা।",True
DIST_5,District,Noakhali,নোয়াখালী,DIV_1,,www.noakhali.gov.bd,নোয়াখালী জেলা,https://bn.wikipedia.org/wiki/%E0%A6%A8%E0%A7%8B%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%96%E0%A6%BE%E0%A6%B2%E0%A7%80%20%E0%A6%9C%E0%A7%87%E0%A6%B2%E0%A6%BE,https://pub-d8ff02e059814132b7f971370e65283d.r2.dev/places/districts/noakhali_dist_5.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dc/Bazra_Shahi_Mosque_2.jpg/960px-Bazra_Shahi_Mosque_2.jpg?utm_source=bn.wikipedia.org&utm_campaign=api&utm_content=thumbnail,নোয়াখালী জেলা বাংলাদেশের দক্ষিণ-পূর্বাঞ্চলে অবস্থিত চট্টগ্রাম বিভাগের একটি প্রশাসনিক অঞ্চল। এর পূর্বনাম ছিল ভুলুয়া। বর্তমানে বাংলাদেশের সবচেয়ে ধনী জেলা নোয়াখালী। উপজেলার সংখ্যানুসারে নোয়াখালী বাংলাদেশের একটি 'এ' শ্রেণিভুক্ত জেলা। নোয়াখালী বাংলাদেশের একমাত্র জেলা যার নিজের নামে কোন শহর নেই। আয়তনে এটি বাংলাদেশের ৬ষ্ঠ বৃহত্তম জেলা।,True
DIST_6,District,Chandpur,চাঁদপুর,DIV_1,,www.chandpur.gov.bd,চাঁদপুর জেলা,https://bn.wikipedia.org/wiki/%E0%A6%9A%E0%A6%BE%E0%A6%81%E0%A6%A6%E0%A6%AA%E0%A7%81%E0%A6%B0%20%E0%A6%9C%E0%A7%87%E0%A6%B2%E0%A6%BE,https://pub-d8ff02e059814132b7f971370e65283d.r2.dev/places/districts/chandpur_dist_6.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2e/%E0%A6%B0%E0%A7%82%E0%A6%AA%E0%A6%B8%E0%A6%BE_%E0%A6%9C%E0%A6%AE%E0%A6%BF%E0%A6%A6%E0%A6%BE%E0%A6%B0_%E0%A6%AC%E0%A6%BE%E0%A6%A1%E0%A6%BC%E0%A6%BF%E0%A6%B0_%E0%A6%AE%E0%A7%82%E0%A6%B2_%E0%A6%AD%E0%A6%AC%E0%A6%A8_%E0%A7%A6%E0%A7%A8.jpg/960px-%E0%A6%B0%E0%A7%82%E0%A6%AA%E0%A6%B8%E0%A6%BE_%E0%A6%9C%E0%A6%AE%E0%A6%BF%E0%A6%A6%E0%A6%BE%E0%A6%B0_%E0%A6%AC%E0%A6%BE%E0%A6%A1%E0%A6%BC%E0%A6%BF%E0%A6%B0_%E0%A6%AE%E0%A7%82%E0%A6%B2_%E0%A6%AD%E0%A6%AC%E0%A6%A8_%E0%A7%A6%E0%A7%A8.jpg?utm_source=bn.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"বাংলাদেশের দক্ষিণ-পূর্বাঞ্চলে অবস্থিত চট্টগ্রাম বিভাগের একটি প্রশাসনিক অঞ্চল হলো চাঁদপুর জেলা। ১৯৮৪ সালে বৃহত্তর কুমিল্লা জেলার অংশ থেকে এটি পূর্ণাঙ্গ জেলায় উন্নীত হয়। এটি আয়তনের দিক থেকে বাংলাদেশের ৪১তম ও জনসংখ্যার দিক থেকে ২২তম (২০২২) বৃহৎ জেলা। প্রশাসনিকভাবে চাঁদপুর ৮টি উপজেলা নিয়ে গঠিত এবং উপজেলার সংখ্যানুসারে চাঁদপুর বাংলাদেশের একটি “এ” শ্রেণিভুক্ত জেলা। পদ্মা, মেঘনা ও ডাকাতিয়া নদীর মিলনস্থলে এ জেলা অবস্থিত। মেঘনা নদীর তীরে অবস্থিত চাঁদপুর নদী বন্দর একটি প্রাচীন এবং গুরুত্বপূর্ণ নদী বন্দর। ইলিশ মাছের অন্যতম প্রজনন অঞ্চল হিসেবে এই জেলা ইলিশের বাড়ি চাঁদপুর হিসেবে পরিচিত।",True
DIST_7,District,Lakshmipur,লক্ষ্মীপুর,DIV_1,,www.lakshmipur.gov.bd,লক্ষ্মীপুর জেলা,https://bn.wikipedia.org/wiki/%E0%A6%B2%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A7%8D%E0%A6%AE%E0%A7%80%E0%A6%AA%E0%A7%81%E0%A6%B0%20%E0%A6%9C%E0%A7%87%E0%A6%B2%E0%A6%BE,https://pub-d8ff02e059814132b7f971370e65283d.r2.dev/places/districts/lakshmipur_dist_7.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/41/A_Road_to_Dhaka_from_Lakshmipur_at_dust%2C_Photo--_Ahsan.jpg/960px-A_Road_to_Dhaka_from_Lakshmipur_at_dust%2C_Photo--_Ahsan.jpg?utm_source=bn.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"লক্ষ্মীপুর জেলা বাংলাদেশের দক্ষিণ-পূর্বাঞ্চলে অবস্থিত চট্টগ্রাম বিভাগের একটি প্রশাসনিক অঞ্চল। মেঘনা নদীর অববাহিকায়  গড়ে ওঠা এই জেলাটি মূলত সয়াবিন, নারিকেল এবং সুপারির জন্য বিখ্যাত। এটি বাংলাদেশের একটি বি শ্রেণিভুক্ত জেলা। আয়তনে এটি বাংলাদেশের ৪৬ তম জেলা ও জনসংখ্যায় এটি বাংলাদেশের ৩৬ তম জেলা।",True
DIST_8,District,Chattogram,চট্টগ্রাম,DIV_1,,www.chittagong.gov.bd,চট্টগ্রাম জেলা,https://bn.wikipedia.org/wiki/%E0%A6%9A%E0%A6%9F%E0%A7%8D%E0%A6%9F%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE%20%E0%A6%9C%E0%A7%87%E0%A6%B2%E0%A6%BE,https://pub-d8ff02e059814132b7f971370e65283d.r2.dev/places/districts/chattogram_dist_8.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a6/Sheikh_Mujib_Road_from_C%26F_Tower_%2802%29.jpg/960px-Sheikh_Mujib_Road_from_C%26F_Tower_%2802%29.jpg?utm_source=bn.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"চট্টগ্রাম জেলা বাংলাদেশের দক্ষিণ-পূর্বাঞ্চলে অবস্থিত চট্টগ্রাম বিভাগের একটি প্রশাসনিক অঞ্চল। অবস্থানগত কারণে চট্টগ্রাম জেলা বাংলাদেশের একটি বিশেষ শ্রেণীভুক্ত জেলা। পাহাড়, সমুদ্র, উপত্যকা, বন-বনানীর কারণে চট্টগ্রাম প্রাকৃতিক সৌন্দর্যের অন্যতম লীলাভূমি। প্রাকৃতিক সৌন্দর্য ও বৈচিত্র্যের কারণে চট্টগ্রামকে ""প্রাচ্যের রানী"" বলা হয়। প্রতিষ্ঠাকালের হিসেবে এই জেলা বাংলাদেশের প্রথম এবং আয়তনে বাংলাদেশের দ্বিতীয় বৃহত্তম জেলা। সর্বশেষ জনশুমারি ও গৃহগণনা ২০২২ অনুসারে, চট্টগ্রাম জেলার জনসংখ্যা ৯১ লক্ষ ৬৯ হাজার ৪৬৫ জন।",True
DIST_9,District,Coxsbazar,কক্সবাজার,DIV_1,,www.coxsbazar.gov.bd,কক্সবাজার জেলা,https://bn.wikipedia.org/wiki/%E0%A6%95%E0%A6%95%E0%A7%8D%E0%A6%B8%E0%A6%AC%E0%A6%BE%E0%A6%9C%E0%A6%BE%E0%A6%B0%20%E0%A6%9C%E0%A7%87%E0%A6%B2%E0%A6%BE,https://pub-d8ff02e059814132b7f971370e65283d.r2.dev/places/districts/coxsbazar_dist_9.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/aa/Tahsanshuvo2.jpg/960px-Tahsanshuvo2.jpg?utm_source=bn.wikipedia.org&utm_campaign=api&utm_content=thumbnail,কক্সবাজার জেলা বাংলাদেশের দক্ষিণ-পূর্বাঞ্চলে অবস্থিত চট্টগ্রাম বিভাগের একটি প্রশাসনিক অঞ্চল। পূর্বে কক্সবাজার জেলা বৃহত্তর চট্টগ্রাম জেলার অন্তর্ভুক্ত ছিল। ১৯৮৪ সালে এরশাদ সরকারের আমলে বৃহত্তর চট্টগ্রাম জেলাকে ভেঙে কক্সবাজার জেলা প্রতিষ্ঠা করা হয়। উপজেলার সংখ্যানুসারে কক্সবাজার বাংলাদেশের একটি “এ” শ্রেণীভুক্ত জেলা। এটি বাংলাদেশের সর্ব-দক্ষিণের জেলা। কক্সবাজার জেলায় রয়েছে বাংলাদেশের দীর্ঘতম সমুদ্র সৈকত।,True
DIST_10,District,Khagrachhari,খাগড়াছড়ি,DIV_1,,www.khagrachhari.gov.bd,খাগড়াছড়ি জেলা,https://bn.wikipedia.org/wiki/%E0%A6%96%E0%A6%BE%E0%A6%97%E0%A6%A1%E0%A6%BC%E0%A6%BE%E0%A6%9B%E0%A6%A1%E0%A6%BC%E0%A6%BF%20%E0%A6%9C%E0%A7%87%E0%A6%B2%E0%A6%BE,https://pub-d8ff02e059814132b7f971370e65283d.r2.dev/places/districts/khagrachhari_dist_10.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/Midway_to_Konglak_Hill%2C_Khagrachari%2C_Bangladesh.jpg/960px-Midway_to_Konglak_Hill%2C_Khagrachari%2C_Bangladesh.jpg?utm_source=bn.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"খাগড়াছড়ি জেলা বাংলাদেশের দক্ষিণ-পূর্বাঞ্চলে অবস্থিত চট্টগ্রাম বিভাগের একটি প্রশাসনিক অঞ্চল। পূর্ব রাঙ্গামাটি, খাগড়াছড়ি ও বান্দরবান একসাথে একটি জেলা ছিল। ১৯৮৪ সালে এরশাদ সরকারের আমলে পার্বত্য চট্টগ্রামের রামগড় ও খাগড়াছড়ি এই দুই মহকুমা নিয়ে খাগড়াছড়ি জেলা গঠন করা হয়।১৮৬০ সালে চট্টগ্রামকে ভেঙে পার্বত্য চট্টগ্রাম গঠন করে ব্রিটিশ সরকার। খাগড়াছড়ি একটি পার্বত্য জেলা। উপজেলার সংখ্যানুসারে খাগড়াছড়ি বাংলাদেশের একটি “এ” শ্রেণীভুক্ত জেলা।",True
