banglish,name_bn,category
manush,মানুষ,Casual Banglish
desh,দেশ,Casual Banglish
valo,ভালো,Casual Banglish
khabar,খাবার,Casual Banglish
kothay,কোথায়,Casual Banglish
taka,টাকা,Casual Banglish
ami,আমি,Casual Banglish
tumi,তুমি,Casual Banglish
bari,বাড়ি,Casual Banglish
rasta,রাস্তা,Casual Banglish
cholo,চলো,Casual Banglish
ajke,আজকে,Casual Banglish
kalke,কালকে,Casual Banglish
jam,জ্যাম,Casual Banglish
bazar,বাজার,Casual Banglish
dokar,দোকান,Casual Banglish
dokan,দোকান,Casual Banglish
koto,কত,Casual Banglish
kemon,কেমন,Casual Banglish
ki,কী,Casual Banglish
