banglish,name_bn,category
manush,মানুষ,Casual Banglish
desh,দেশ,Casual Banglish
valo,ভালো,Casual Banglish
khabar,খাবার,Casual Banglish
kothay,কোথায়,Casual Banglish
taka,টাকা,Casual Banglish
ami,আমি,Casual Banglish
tumi,তুমি,Casual Banglish
bari,বাড়ি,Casual Banglish
rasta,রাস্তা,Casual Banglish
cholo,চলো,Casual Banglish
ajke,আজকে,Casual Banglish
kalke,কালকে,Casual Banglish
jam,জ্যাম,Casual Banglish
bazar,বাজার,Casual Banglish
dokan,দোকান,Casual Banglish
koto,কত,Casual Banglish
kemon,কেমন,Casual Banglish
ki,কী,Casual Banglish
shomoy,সময়,Casual Banglish
din,দিন,Casual Banglish
rat,রাত,Casual Banglish
sokal,সকাল,Casual Banglish
bikale,বিকালে,Casual Banglish
bristi,বৃষ্টি,Casual Banglish
rod,রোদ,Casual Banglish
garam,গরম,Casual Banglish
thanda,ঠান্ডা,Casual Banglish
onek,অনেক,Casual Banglish
kom,কম,Casual Banglish
beshi,বেশি,Casual Banglish
ekhon,এখন,Casual Banglish
pore,পরে,Casual Banglish
age,আগে,Casual Banglish
notun,নতুন,Casual Banglish
puran,পুরান,Casual Banglish
valo na,ভালো না,Casual Banglish
sundor,সুন্দর,Casual Banglish
boka,বোকা,Casual Banglish
pagol,পাগল,Casual Banglish
