entity_id,name_bn,name_en,profession,category
cult_01,কাজী নজরুল ইসলাম,Kazi Nazrul Islam,Poet,Cultural Figures
cult_02,রবীন্দ্রনাথ ঠাকুর,Rabindranath Tagore,Poet,Cultural Figures
cult_03,বঙ্গবন্ধু শেখ মুজিবুর রহমান,Bangabandhu Sheikh Mujibur Rahman,Founding Father,Cultural Figures
cult_04,মাওলানা আবদুল হামিদ খান ভাসানী,Maulana Abdul Hamid Khan Bhashani,Politician,Cultural Figures
cult_05,শেরে বাংলা এ. কে. ফজলুল হক,A. K. Fazlul Huq,Politician,Cultural Figures
cult_06,জসীমউদ্দীন,Jasimuddin,Poet,Cultural Figures
cult_07,জয়নুল আবেদিন,Zainul Abedin,Painter,Cultural Figures
cult_08,এস এম সুলতান,S M Sultan,Painter,Cultural Figures
cult_09,হুমায়ূন আহমেদ,Humayun Ahmed,Writer,Cultural Figures
cult_10,বেগম রোকেয়া,Begum Rokeya,Writer,Cultural Figures
cult_11,জীবনানন্দ দাশ,Jibanananda Das,Poet,Cultural Figures
cult_12,মুহম্মদ শহীদুল্লাহ,Muhammad Shahidullah,Linguist,Cultural Figures
cult_13,জগদীশ চন্দ্র বসু,Jagadish Chandra Bose,Scientist,Cultural Figures
cult_14,সত্যেন্দ্রনাথ বসু,Satyendra Nath Bose,Scientist,Cultural Figures
cult_15,তারেক মাসুদ,Tareque Masud,Filmmaker,Cultural Figures
