entity_id,name_bn,name_en,profession,category
cult_0,কাজী নজরুল ইসলাম,Kazi Nazrul Islam,Poet,Cultural Figures
cult_1,রবীন্দ্রনাথ ঠাকুর,Rabindranath Tagore,Poet,Cultural Figures
cult_2,বঙ্গবন্ধু শেখ মুজিবুর রহমান,Bangabandhu Sheikh Mujibur Rahman,Founding Father,Cultural Figures
cult_3,মাওলানা আবদুল হামিদ খান ভাসানী,Maulana Abdul Hamid Khan Bhashani,Politician,Cultural Figures
cult_4,শেরে বাংলা এ. কে. ফজলুল হক,A. K. Fazlul Huq,Politician,Cultural Figures
cult_5,জসীমউদ্দীন,Jasimuddin,Poet,Cultural Figures
cult_6,জয়নুল আবেদিন,Zainul Abedin,Painter,Cultural Figures
cult_7,এস এম সুলতান,S M Sultan,Painter,Cultural Figures
cult_8,হুমায়ূন আহমেদ,Humayun Ahmed,Writer,Cultural Figures
cult_9,বেগম রোকেয়া,Begum Rokeya,Writer,Cultural Figures
cult_10,জীবনানন্দ দাশ,Jibanananda Das,Poet,Cultural Figures
cult_11,মুহম্মদ শহীদুল্লাহ,Muhammad Shahidullah,Linguist,Cultural Figures
cult_12,জগদীশ চন্দ্র বসু,Jagadish Chandra Bose,Scientist,Cultural Figures
cult_13,সত্যেন্দ্রনাথ বসু,Satyendra Nath Bose,Scientist,Cultural Figures
cult_14,তারেক মাসুদ,Tareque Masud,Filmmaker,Cultural Figures
cult_15,সত্যজিৎ রায়,Satyajit Ray,Filmmaker,Cultural Figures
cult_16,ঋত্বিক ঘটক,Ritwik Ghatak,Filmmaker,Cultural Figures
cult_17,মুনীর চৌধুরী,Munier Choudhury,Playwright,Cultural Figures
cult_18,শহীদুল্লা কায়সার,Shahidullah Kaiser,Novelist,Cultural Figures
cult_19,জহির রায়হান,Zahir Raihan,Filmmaker,Cultural Figures
cult_20,কামরুল হাসান,Quamrul Hassan,Painter,Cultural Figures
cult_21,শামসুর রাহমান,Shamsur Rahman,Poet,Cultural Figures
