entity_id,name_bn,name_en,profession,wiki_image_url,category
cult_0,কাজী নজরুল ইসলাম,Kazi Nazrul Islam,Poet,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Nazrul2.jpg/220px-Nazrul2.jpg,Cultural Figures
cult_1,রবীন্দ্রনাথ ঠাকুর,Rabindranath Tagore,Poet,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Rabindranath_Tagore_in_1909.jpg/220px-Rabindranath_Tagore_in_1909.jpg,Cultural Figures
cult_2,বঙ্গবন্ধু শেখ মুজিবুর রহমান,Sheikh Mujibur Rahman,Founding Father,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Mujib_1950.jpg/220px-Mujib_1950.jpg,Cultural Figures
cult_3,মাওলানা আবদুল হামিদ খান ভাসানী,Maulana Bhashani,Politician,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Abdul_Hamid_Khan_Bhasani.jpg/220px-Abdul_Hamid_Khan_Bhasani.jpg,Cultural Figures
cult_4,শেরে বাংলা এ. কে. ফজলুল হক,A. K. Fazlul Huq,Politician,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/AKFazlulHuq.jpg/220px-AKFazlulHuq.jpg,Cultural Figures
cult_5,জসীমউদ্দীন,Jasimuddin,Poet,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Jasimuddin.jpg/220px-Jasimuddin.jpg,Cultural Figures
cult_6,জয়নুল আবেদিন,Zainul Abedin,Painter,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Zainul_Abedin.jpg/220px-Zainul_Abedin.jpg,Cultural Figures
cult_7,এস এম সুলতান,S M Sultan,Painter,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/SM_Sultan.jpg/220px-SM_Sultan.jpg,Cultural Figures
cult_8,হুমায়ূন আহমেদ,Humayun Ahmed,Writer,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Humayun_Ahmed.jpg/220px-Humayun_Ahmed.jpg,Cultural Figures
cult_9,বেগম রোকেয়া,Begum Rokeya,Writer,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Begum_Rokeya.jpg/220px-Begum_Rokeya.jpg,Cultural Figures
cult_10,জীবনানন্দ দাশ,Jibanananda Das,Poet,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Jibanananda_Das.jpg/220px-Jibanananda_Das.jpg,Cultural Figures
cult_11,মুহম্মদ শহীদুল্লাহ,Muhammad Shahidullah,Linguist,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Muhammad_Shahidullah.jpg/220px-Muhammad_Shahidullah.jpg,Cultural Figures
cult_12,জগদীশ চন্দ্র বসু,Jagadish Chandra Bose,Scientist,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/J.C.Bose.jpg/220px-J.C.Bose.jpg,Cultural Figures
cult_13,সত্যেন্দ্রনাথ বসু,Satyendra Nath Bose,Scientist,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Satyendra_Nath_Bose_1925.jpg/220px-Satyendra_Nath_Bose_1925.jpg,Cultural Figures
cult_14,তারেক মাসুদ,Tareque Masud,Filmmaker,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Tareque_Masud.jpg/220px-Tareque_Masud.jpg,Cultural Figures
cult_15,শামসুর রাহমান,Shamsur Rahman,Poet,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Shamsur_Rahman.jpg/220px-Shamsur_Rahman.jpg,Cultural Figures
cult_16,আবদুল জব্বার,Abdul Jabbar,Singer,,Cultural Figures
cult_17,রুনা লায়লা,Runa Laila,Singer,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Runa_Laila.jpg/220px-Runa_Laila.jpg,Cultural Figures
cult_18,আইয়ুব বাচ্চু,Ayub Bachchu,Musician,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Ayub_Bachchu.jpg/220px-Ayub_Bachchu.jpg,Cultural Figures
cult_19,জেমস,James (Naquib Islam),Musician,,Cultural Figures
cult_20,মুনীর চৌধুরী,Munier Choudhury,Playwright,,Cultural Figures
cult_21,জহির রায়হান,Zahir Raihan,Filmmaker,,Cultural Figures
