entity_id,name_bn,name_en,acronym,founded_year,current_head_bn,ideology_summary_bn,wiki_image_url,category
pol_01,বাংলাদেশ আওয়ামী লীগ,Bangladesh Awami League,AL,1949,শেখ হাসিনা,"বাংলাদেশ আওয়ামী লীগ একটি মধ্য-বাম ধর্মনিরপেক্ষ দল। এটি বাঙালি জাতীয়তাবাদ, সমাজতন্ত্র ও ধর্মনিরপেক্ষতার আদর্শে প্রতিষ্ঠিত। ১৯৭১ সালের মুক্তিযুদ্ধে নেতৃত্বদানকারী দল হিসেবে এর ঐতিহাসিক গুরুত্ব অপরিসীম।",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Awami_League_logo.svg/200px-Awami_League_logo.svg.png,Political Parties
pol_02,বাংলাদেশ জাতীয়তাবাদী দল,Bangladesh Nationalist Party,BNP,1978,খালেদা জিয়া,বিএনপি বাংলাদেশি জাতীয়তাবাদ ও রক্ষণশীল ইসলামি মূল্যবোধের সমন্বয়ে গঠিত একটি কেন্দ্র-ডানপন্থী দল। জিয়াউর রহমান কর্তৃক প্রতিষ্ঠিত এই দল বাজার অর্থনীতি ও পশ্চিমা সম্পর্ক রক্ষার পক্ষে।,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/BNP_logo.svg/200px-BNP_logo.svg.png,Political Parties
pol_03,জাতীয় পার্টি (এরশাদ),Jatiya Party (Ershad),JP,1986,জি এম কাদের,জাতীয় পার্টি একটি কেন্দ্রপন্থী দল যা হুসেইন মুহম্মদ এরশাদ কর্তৃক প্রতিষ্ঠিত। দলটি জাতীয়তাবাদ ও ইসলামি মূল্যবোধের মিশ্রণে রাজনীতি করে এবং 'তৃতীয় শক্তি' হিসেবে নিজেকে উপস্থাপন করে।,,Political Parties
pol_04,বাংলাদেশ জামায়াতে ইসলামী,Bangladesh Jamaat-e-Islami,BJI,1941,শফিকুর রহমান,জামায়াতে ইসলামী বাংলাদেশের প্রধান ইসলামপন্থী দল। দলটি ইসলামি রাষ্ট্র প্রতিষ্ঠা এবং শরিয়া আইনের ভিত্তিতে সমাজ গড়ার পক্ষে। ১৯৭১ সালের মুক্তিযুদ্ধে বিতর্কিত ভূমিকার কারণে দলটি সমালোচিত।,,Political Parties
pol_05,বাংলাদেশের কমিউনিস্ট পার্টি,Communist Party of Bangladesh,CPB,1948,মুজাহিদুল ইসলাম সেলিম,"বাংলাদেশের কমিউনিস্ট পার্টি মার্কসবাদ-লেনিনবাদের আদর্শ অনুসরণ করে। দলটি শ্রমিক শ্রেণির অধিকার, ভূমি সংস্কার এবং সাম্রাজ্যবাদবিরোধী আন্দোলনে সক্রিয় ভূমিকা পালন করে।",,Political Parties
pol_06,জাতীয় সমাজতান্ত্রিক দল (জাসদ),Jatiya Samajtantrik Dal,JSD,1972,হাসানুল হক ইনু,জাসদ মুক্তিযুদ্ধের পরপরই প্রতিষ্ঠিত একটি বাম-ঘরানার দল। দলটি বৈজ্ঞানিক সমাজতন্ত্র ও সাম্রাজ্যবাদবিরোধী রাজনীতির পক্ষে অবস্থান নেয়। বর্তমানে দলটি বেশ কয়েকটি ভাগে বিভক্ত।,,Political Parties
pol_07,বাংলাদেশের ওয়ার্কার্স পার্টি,Workers Party of Bangladesh,WPB,1980,রাশেদ খান মেনন,"ওয়ার্কার্স পার্টি মার্কসবাদী আদর্শে বিশ্বাসী একটি বামপন্থী দল। দলটি শ্রমিক-কৃষকের মুক্তি, সাম্রাজ্যবাদবিরোধিতা এবং একটি অসাম্প্রদায়িক বাংলাদেশ গড়ার লক্ষ্যে কাজ করে।",,Political Parties
pol_08,ইসলামী আন্দোলন বাংলাদেশ,Islami Andolan Bangladesh,IAB,1987,সৈয়দ মুহাম্মদ রেজাউল করীম,ইসলামী আন্দোলন বাংলাদেশ একটি ইসলামপন্থী রাজনৈতিক দল যা চরমোনাই পীরের অনুসারীদের নিয়ে গঠিত। দলটি ইসলামি শাসনব্যবস্থা কায়েম ও সুদমুক্ত অর্থনীতি প্রতিষ্ঠার দাবিতে রাজনীতি করে।,,Political Parties
pol_09,লিবারেল ডেমোক্রেটিক পার্টি,Liberal Democratic Party,LDP,2006,কর্নেল (অব.) অলি আহমদ,লিবারেল ডেমোক্রেটিক পার্টি একটি উদার গণতান্ত্রিক দল যা বিএনপি থেকে বিভক্ত হয়ে গঠিত হয়েছে। দলটি মুক্তবাজার অর্থনীতি ও বহুদলীয় গণতন্ত্রের পক্ষে অবস্থান নেয়।,,Political Parties
pol_10,গণফোরাম,Gono Forum,GF,1993,কামাল হোসেন,"গণফোরাম একটি মধ্যপন্থী সামাজিক গণতান্ত্রিক দল যা ড. কামাল হোসেন প্রতিষ্ঠা করেন। দলটি সুশাসন, দুর্নীতিমুক্ত প্রশাসন এবং সাংবিধানিক গণতন্ত্র প্রতিষ্ঠার পক্ষে।",,Political Parties
pol_11,বাংলাদেশ ন্যাশনাল আওয়ামী পার্টি (ভাসানী ন্যাপ),Bangladesh National Awami Party (Bhashani NAP),NAP,1957,,মাওলানা ভাসানীর নেতৃত্বে গঠিত ন্যাপ বাংলাদেশের কৃষক ও মেহনতি মানুষের স্বার্থে রাজনীতি করত। দলটি সাম্রাজ্যবাদবিরোধী ও চীনপন্থী সমাজতান্ত্রিক আদর্শ ধারণ করত।,,Political Parties
pol_12,বাংলাদেশ কৃষক-শ্রমিক আওয়ামী লীগ (বাকশাল),Bangladesh Krishak Sramik Awami League,BAKSAL,1975,,বাকশাল শেখ মুজিবুর রহমানের নেতৃত্বে ১৯৭৫ সালে প্রতিষ্ঠিত একটি একদলীয় সমাজতান্ত্রিক সংগঠন। এটি বাংলাদেশে স্বল্পস্থায়ী একদলীয় শাসনের প্রতীক।,,Political Parties
pol_13,বাংলাদেশ ইসলামী ফ্রন্ট,Bangladesh Islami Front,BIF,1987,মাওলানা এম. এ. মান্নান,বাংলাদেশ ইসলামী ফ্রন্ট একটি ইসলামি মূল্যবোধভিত্তিক রাজনৈতিক দল যা ইসলামি সমাজ প্রতিষ্ঠার লক্ষ্যে গঠিত। দলটি সুফি ধারায় বিশ্বাসী এবং শান্তিপূর্ণ রাজনৈতিক পথ অনুসরণ করে।,,Political Parties
pol_14,বাংলাদেশ খেলাফত মজলিস,Bangladesh Khelafat Majlis,BKM,1989,মাওলানা মোহাম্মদ ইসহাক,বাংলাদেশ খেলাফত মজলিস খিলাফত পুনঃপ্রতিষ্ঠার আদর্শে বিশ্বাসী একটি ইসলামপন্থী দল। দলটি কুরআন ও সুন্নাহ ভিত্তিক রাষ্ট্রব্যবস্থার দাবিতে রাজনীতি করে।,,Political Parties
pol_15,ইসলামী ঐক্যজোট,Islami Oikya Jot,IOJ,1990,আবদুল লতিফ নেজামী,ইসলামী ঐক্যজোট বিভিন্ন ইসলামপন্থী দলের সমন্বয়ে গঠিত একটি জোট। দলটি ইসলামি আইন ও মূল্যবোধ রক্ষার পক্ষে সোচ্চার এবং মুসলিম জাতীয়তাবাদী রাজনীতি করে।,,Political Parties
pol_16,বাংলাদেশ তরিকত ফেডারেশন,Bangladesh Tarikat Federation,BTF,2005,নজিবুল বশর মাইজভান্ডারী,বাংলাদেশ তরিকত ফেডারেশন সুফি ও মাজারভিত্তিক ইসলামি ধারাকে প্রতিনিধিত্ব করে। দলটি পীর-মুরিদ সম্পর্কের ভিত্তিতে রাজনৈতিক সংগঠন পরিচালনা করে এবং ধর্মীয় সহিষ্ণুতায় বিশ্বাসী।,,Political Parties
pol_17,বাংলাদেশ মুসলিম লীগ,Bangladesh Muslim League,BML,1906,,ব্রিটিশ ভারতে মুসলমানদের জন্য আলাদা রাষ্ট্র প্রতিষ্ঠার আন্দোলনে নেতৃত্বদানকারী এই দল পাকিস্তান সৃষ্টির পর দুর্বল হয়ে পড়ে। বাংলাদেশে এর বেশ কয়েকটি অংশ ও উপদল বিদ্যমান।,,Political Parties
pol_18,গণতান্ত্রিক পার্টি,Democratic Party of Bangladesh,DP,1952,,বাংলাদেশের গণতান্ত্রিক পার্টি উদার গণতন্ত্রের আদর্শে পরিচালিত একটি ছোট কেন্দ্রপন্থী দল যা বহুদলীয় সংসদীয় গণতন্ত্রে বিশ্বাস করে।,,Political Parties
pol_19,বাংলাদেশ জাতীয় পার্টি (মঞ্জু),Bangladesh Jatiya Party (Manju),BJP-M,1986,আন্দালীব রহমান পার্থ,এরশাদের জাতীয় পার্টি থেকে বিভক্ত এই দল মধ্যপন্থী জাতীয়তাবাদী রাজনীতি অনুসরণ করে এবং তৃতীয় শক্তি হিসেবে নিজেকে প্রতিষ্ঠিত করার চেষ্টা করছে।,,Political Parties
pol_20,বিকল্পধারা বাংলাদেশ,Bikalpadhara Bangladesh,BDB,2004,এ কিউ এম বদরুদ্দোজা চৌধুরী,বিকল্পধারা বাংলাদেশ একটি উদারনৈতিক গণতান্ত্রিক দল যা বিএনপি থেকে বের হয়ে গঠিত। দলটি দুর্নীতিমুক্ত প্রশাসন ও সুশাসনের দাবিতে রাজনীতি করে।,,Political Parties
pol_21,কৃষক শ্রমিক জনতা লীগ,Krishak Sramik Janata League,KSJL,1999,বাংলাদেশ,কৃষক শ্রমিক জনতা লীগ কৃষক ও শ্রমিক শ্রেণির অধিকার রক্ষায় কাজ করে। দলটি গ্রামীণ দরিদ্র ও প্রান্তিক জনগোষ্ঠীর স্বার্থে সামাজিক গণতান্ত্রিক আদর্শ অনুসরণ করে।,,Political Parties
pol_22,জাতীয় পার্টি (জেপি-জাফর),Jatiya Party (JP-Jafar),JP-J,2008,মোস্তাফিজুর রহমান ফিজার,জাতীয় পার্টির আরেকটি উপদল যা জাফর ইমামের নেতৃত্বে বিভক্ত হয়েছে। মূল দলের মতোই কেন্দ্রপন্থী জাতীয়তাবাদী আদর্শ ধারণ করে।,,Political Parties
pol_23,বাংলাদেশ ন্যাশনালিস্ট ফ্রন্ট,Bangladesh Nationalist Front,BNF,1999,এস. এম. আবুল কালাম আজাদ,বাংলাদেশ ন্যাশনালিস্ট ফ্রন্ট বিএনপির আদর্শ থেকে অনুপ্রাণিত একটি ছোট কেন্দ্র-ডানপন্থী দল যা বাংলাদেশি জাতীয়তাবাদের ভিত্তিতে রাজনীতি পরিচালনা করে।,,Political Parties
pol_24,বাংলাদেশ কল্যাণ পার্টি,Bangladesh Kalyan Party,BKP,2007,মেজর জেনারেল (অব.) সৈয়দ মুহাম্মদ ইবরাহিম,"বাংলাদেশ কল্যাণ পার্টি একটি ইসলামিক গণতান্ত্রিক দল। দলটি নৈতিক ও আধ্যাত্মিক মূল্যবোধের ভিত্তিতে রাষ্ট্র পরিচালনা, সুশাসন ও দুর্নীতিমুক্ত প্রশাসনের দাবিতে রাজনীতি করে।",,Political Parties
pol_25,জাতীয় গণতান্ত্রিক পার্টি,Jatiya Ganatantrik Party,JGP,1975,শফিউল আলম প্রধান,জাতীয় গণতান্ত্রিক পার্টি একটি ডানপন্থী জাতীয়তাবাদী দল যা সংসদীয় গণতন্ত্র ও বাজার অর্থনীতির পক্ষে অবস্থান নেয়।,,Political Parties
pol_26,গণআজাদী লীগ,Gaon Azadi League,GAL,1960,,গণআজাদী লীগ বাংলাদেশের একটি বামপন্থী রাজনৈতিক দল যা জনগণের আজাদি ও শ্রেণিমুক্তির লক্ষ্যে কাজ করে।,,Political Parties
pol_27,বাংলাদেশ সমাজতান্ত্রিক দল (বাসদ),Bangladesh Socialist Party (BSD),BSD,1980,খালেকুজ্জামান,বাংলাদেশ সমাজতান্ত্রিক দল মার্কসবাদী-লেনিনবাদী আদর্শে পরিচালিত। দলটি পুঁজিবাদের অবসান ঘটিয়ে একটি শ্রমিক-কৃষকের সমাজতান্ত্রিক সমাজ গড়ার লক্ষ্যে সংগ্রাম করে।,,Political Parties
pol_28,গণসংহতি আন্দোলন,Gano Sanghati Andolan,GSA,2009,জোনায়েদ সাকি,"গণসংহতি আন্দোলন বাংলাদেশের একটি বামপন্থী রাজনৈতিক সংগঠন। এটি গণতান্ত্রিক অধিকার প্রতিষ্ঠা, সাম্রাজ্যবাদবিরোধিতা ও সমাজতান্ত্রিক পরিবর্তনের পক্ষে সোচ্চার।",,Political Parties
pol_29,গণ অধিকার পরিষদ,Gono Odhikar Parishad,GOP,2022,নুরুল হক নুর,"গণ অধিকার পরিষদ ছাত্র আন্দোলন থেকে বের হয়ে আসা একটি তরুণ রাজনৈতিক দল। দলটি গণতান্ত্রিক সংস্কার, দুর্নীতিমুক্ত রাজনীতি এবং যুব নেতৃত্বের ভিত্তিতে রাজনীতি করে।",,Political Parties
pol_30,ন্যাশনাল পিপলস পার্টি (এনপিপি),National People's Party,NPP,1978,শেখ শওকত হোসেন নিলু,ন্যাশনাল পিপলস পার্টি একটি কেন্দ্রপন্থী জাতীয়তাবাদী দল যা জনগণের অধিকার ও গণতন্ত্র প্রতিষ্ঠার পক্ষে কাজ করে।,,Political Parties
pol_31,বাংলাদেশ লেবার পার্টি,Bangladesh Labour Party,BLP,1982,মোস্তাফিজুর রহমান ইবনে মোস্তফা,বাংলাদেশ লেবার পার্টি শ্রমজীবী মানুষের স্বার্থে কাজ করে এবং ট্রেড ইউনিয়নভিত্তিক রাজনীতি পরিচালনা করে।,,Political Parties
pol_32,পিপলস ডেমোক্রেটিক পার্টি (পিডিপি),People's Democratic Party,PDP,1976,ফজলুর রহমান পটল,পিপলস ডেমোক্রেটিক পার্টি একটি গণতান্ত্রিক ও প্রগতিশীল দল যা সামাজিক ন্যায়বিচার ও জনগণের ক্ষমতায়নের পক্ষে কাজ করে।,,Political Parties
pol_33,বাংলাদেশ ডেভেলপমেন্ট পার্টি (বিডিপি),Bangladesh Development Party,BDP,1978,,বাংলাদেশ ডেভেলপমেন্ট পার্টি উন্নয়নমুখী রাজনীতির মাধ্যমে দেশের অর্থনৈতিক সমৃদ্ধি অর্জনের লক্ষ্যে কাজ করে।,,Political Parties
pol_34,বাংলাদেশ খেলাফত আন্দোলন,Bangladesh Khelafat Andolon,BKA,1981,হাফেজ মাওলানা আতাউল্লাহ হাফেজী,বাংলাদেশ খেলাফত আন্দোলন একটি ইসলামপন্থী দল যা ইসলামি খিলাফত পুনঃপ্রতিষ্ঠা এবং কুরআন-সুন্নাহ ভিত্তিক সমাজ গঠনের লক্ষ্যে কাজ করে।,,Political Parties
