entity_id,name_bn,name_en,category
food_01,ফুচকা,Puchka,Food & Dining
food_02,বিরিয়ানি,Biryani,Food & Dining
food_03,কাচ্চি বিরিয়ানি,Kacchi Biryani,Food & Dining
food_04,তেহারি,Tehari,Food & Dining
food_05,চটপটি,Chotpoti,Food & Dining
food_06,রসগোল্লা,Roshogolla,Food & Dining
food_07,মিষ্টি দই,Mishti Doi,Food & Dining
food_08,ভর্তা,Bhorta,Food & Dining
food_09,ইলিশ ভাজা,Fried Hilsa,Food & Dining
food_10,পান্তা ভাত,Panta Bhat,Food & Dining
food_11,হালিম,Haleem,Food & Dining
food_12,বোরহানি,Borhani,Food & Dining
food_13,ঝালমুড়ি,Jhalmuri,Food & Dining
food_14,সমুচা,Samosa,Food & Dining
food_15,সিঙ্গারা,Singara,Food & Dining
food_16,জিলাপি,Jalebi,Food & Dining
