entity_id,name_bn,name_en,category
food_0,ফুচকা,Puchka,Food & Dining
food_1,বিরিয়ানি,Biryani,Food & Dining
food_2,কাচ্চি বিরিয়ানি,Kacchi Biryani,Food & Dining
food_3,তেহারি,Tehari,Food & Dining
food_4,চটপটি,Chotpoti,Food & Dining
food_5,রসগোল্লা,Roshogolla,Food & Dining
food_6,মিষ্টি দই,Mishti Doi,Food & Dining
food_7,ভর্তা,Bhorta,Food & Dining
food_8,ইলিশ ভাজা,Fried Hilsa,Food & Dining
food_9,পান্তা ভাত,Panta Bhat,Food & Dining
food_10,হালিম,Haleem,Food & Dining
food_11,বোরহানি,Borhani,Food & Dining
food_12,ঝালমুড়ি,Jhalmuri,Food & Dining
food_13,সমুচা,Samosa,Food & Dining
food_14,সিঙ্গারা,Singara,Food & Dining
food_15,জিলাপি,Jalebi,Food & Dining
food_16,শুটকি,Shutki,Food & Dining
food_17,খাসির মাংস,Mutton Curry,Food & Dining
food_18,গরুর ভুনা,Beef Bhuna,Food & Dining
food_19,ডাল,Dal,Food & Dining
food_20,আলু ভর্তা,Alu Bhorta,Food & Dining
food_21,বেসনের বড়া,Besan Bora,Food & Dining
food_22,পিঠা,Pitha,Food & Dining
food_23,ভাপা পিঠা,Bhapa Pitha,Food & Dining
food_24,চিতই পিঠা,Chitoi Pitha,Food & Dining
food_25,পাটিসাপটা,Patishapta,Food & Dining
food_26,নারু,Naru,Food & Dining
food_27,মোয়া,Moa,Food & Dining
food_28,কদম,Kodom,Food & Dining
food_29,চমচম,Chomchom,Food & Dining
