entity_id,name_bn,name_en,acronym,category,verification_note,status
uni_crawler_1,ঢাকা বিশ্ববিদ্যালয়,University of Dhaka,ঢাবি (DU),Universities,,no_issue_detected
uni_crawler_2,রাজশাহী বিশ্ববিদ্যালয়,University of Rajshahi,রাবি (RU),Universities,,no_issue_detected
uni_crawler_3,চট্টগ্রাম বিশ্ববিদ্যালয়,University of Chittagong,চবি (CU),Universities,,no_issue_detected
uni_crawler_4,জাহাঙ্গীরনগর বিশ্ববিদ্যালয়,Jahangirnagar University,জাবি (JU),Universities,,no_issue_detected
uni_crawler_5,"ইসলামী বিশ্ববিদ্যালয়, বাংলাদেশ","Islamic University, Bangladesh",ইবি (IU),Universities,,no_issue_detected
uni_crawler_6,খুলনা বিশ্ববিদ্যালয়,Khulna University,খুবি (KU),Universities,,no_issue_detected
uni_crawler_7,জগন্নাথ বিশ্ববিদ্যালয়,Jagannath University,জবি (JnU),Universities,,no_issue_detected
uni_crawler_8,কুমিল্লা বিশ্ববিদ্যালয়,Comilla University,কুবি (CoU),Universities,,no_issue_detected
uni_crawler_9,জাতীয় কবি কাজী নজরুল ইসলাম বিশ্ববিদ্যালয়,Jatiya Kabi Kazi Nazrul Islam University,জেকেকেএনআইইউ (JKKNIU),Universities,,no_issue_detected
uni_crawler_10,বাংলাদেশ ইউনিভার্সিটি অব প্রফেশনালস,Bangladesh University of Professionals,বিইউপি (BUP),Universities,,no_issue_detected
uni_crawler_11,বেগম রোকেয়া বিশ্ববিদ্যালয়,Begum Rokeya University,বিআরইউআর (BRUR),Universities,,no_issue_detected
uni_crawler_12,বরিশাল বিশ্ববিদ্যালয়,University of Barisal,বিইউ (BU),Universities,,no_issue_detected
uni_crawler_13,"রবীন্দ্র বিশ্ববিদ্যালয়, বাংলাদেশ","Rabindra University, Bangladesh",আরইউবি (RUB),Universities,,no_issue_detected
uni_crawler_14,নেত্রকোনা বিশ্ববিদ্যালয়,Netrokona University,এনকেইউ (NkU),Universities,,no_issue_detected
uni_crawler_15,কিশোরগঞ্জ বিশ্ববিদ্যালয়,Kishoreganj University,কেজিইউ (KgU),Universities,,no_issue_detected
uni_crawler_16,মেহেরপুর বিশ্ববিদ্যালয়,Meherpur University,এমইউ (MU),Universities,,no_issue_detected
uni_crawler_17,বগুড়া বিশ্ববিদ্যালয়,University of Bogura,ইউবি (UB),Universities,,no_issue_detected
uni_crawler_18,ঠাকুরগাঁও বিশ্ববিদ্যালয়,Thakurgaon University,টিইউ (TU),Universities,,no_issue_detected
uni_crawler_19,নওগাঁ বিশ্ববিদ্যালয়,Naogaon University,এনএইউ (NaU),Universities,,no_issue_detected
uni_crawler_20,শাহজালাল বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,Shahjalal University of Science and Technology,শাবিপ্রবি (SUST),Universities,,no_issue_detected
uni_crawler_21,হাজী মোহাম্মদ দানেশ বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,Hajee Mohammad Danesh Science & Technology University,হাবিপ্রবি (HSTU),Universities,,no_issue_detected
