entity_id,name_bn,name_en,acronym,category
pol_01,বাংলাদেশ আওয়ামী লীগ,Bangladesh Awami League,AL,Political Parties
pol_02,বাংলাদেশ জাতীয়তাবাদী দল,Bangladesh Nationalist Party,BNP,Political Parties
pol_03,জাতীয় পার্টি,Jatiya Party,JP,Political Parties
pol_04,বাংলাদেশ জামায়াতে ইসলামী,Bangladesh Jamaat-e-Islami,BJI,Political Parties
pol_05,বাংলাদেশের কমিউনিস্ট পার্টি,Communist Party of Bangladesh,CPB,Political Parties
pol_06,জাতীয় সমাজতান্ত্রিক দল,Jatiya Samajtantrik Dal,JSD,Political Parties
pol_07,বাংলাদেশের ওয়ার্কার্স পার্টি,Workers Party of Bangladesh,WPB,Political Parties
pol_08,ইসলামী আন্দোলন বাংলাদেশ,Islami Andolan Bangladesh,IAB,Political Parties
pol_09,লিবারেল ডেমোক্রেটিক পার্টি,Liberal Democratic Party,LDP,Political Parties
pol_10,গণফোরাম,Gano Forum,GF,Political Parties
