entity_id,name_bn,name_en,acronym,category
fig_0,প্রধানমন্ত্রী,Prime Minister,PM,Public Figures
fig_1,রাষ্ট্রপতি,President,,Public Figures
fig_2,শিক্ষামন্ত্রী,Education Minister,,Public Figures
fig_3,স্বরাষ্ট্রমন্ত্রী,Home Minister,,Public Figures
fig_4,মেয়র,Mayor,,Public Figures
fig_5,প্রধান বিচারপতি,Chief Justice,CJ,Public Figures
fig_6,সেনাপ্রধান,Army Chief,,Public Figures
fig_7,আইজিপি,Inspector General of Police,IGP,Public Figures
fig_8,অর্থমন্ত্রী,Finance Minister,,Public Figures
fig_9,পররাষ্ট্রমন্ত্রী,Foreign Minister,,Public Figures
fig_10,তথ্যমন্ত্রী,Information Minister,,Public Figures
fig_11,স্বাস্থ্যমন্ত্রী,Health Minister,,Public Figures
fig_12,কৃষিমন্ত্রী,Agriculture Minister,,Public Figures
fig_13,শিল্পমন্ত্রী,Industries Minister,,Public Figures
fig_14,বাণিজ্যমন্ত্রী,Commerce Minister,,Public Figures
fig_15,আইনমন্ত্রী,Law Minister,,Public Figures
fig_16,বিদ্যুৎমন্ত্রী,Power Minister,,Public Figures
fig_17,খাদ্যমন্ত্রী,Food Minister,,Public Figures
fig_18,পরিকল্পনামন্ত্রী,Planning Minister,,Public Figures
fig_19,ভূমিমন্ত্রী,Land Minister,,Public Figures
