entity_id,name_bn,name_en,acronym,category
uni_01,ঢাকা বিশ্ববিদ্যালয়,Dhaka University,DU,Universities
uni_02,জাহাঙ্গীরনগর বিশ্ববিদ্যালয়,Jahangirnagar University,JU,Universities
uni_03,রাজশাহী বিশ্ববিদ্যালয়,Rajshahi University,RU,Universities
uni_04,বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয়,Bangladesh University of Engineering and Technology,BUET,Universities
uni_05,চট্টগ্রাম বিশ্ববিদ্যালয়,Chittagong University,CU,Universities
uni_06,জগন্নাথ বিশ্ববিদ্যালয়,Jagannath University,JNU,Universities
uni_07,খুলনা বিশ্ববিদ্যালয়,Khulna University,KU,Universities
uni_08,বরিশাল বিশ্ববিদ্যালয়,Barisal University,BU,Universities
uni_09,কুমিল্লা বিশ্ববিদ্যালয়,Comilla University,COU,Universities
uni_10,জাতীয় বিশ্ববিদ্যালয়,National University,NU,Universities
uni_11,শাহজালাল বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,Shahjalal University of Science and Technology,SUST,Universities
uni_12,ইসলামী বিশ্ববিদ্যালয়,Islamic University,IU,Universities
uni_13,বেগম রোকেয়া বিশ্ববিদ্যালয়,Begum Rokeya University,BRUR,Universities
uni_14,মাওলানা ভাসানী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,Mawlana Bhashani Science and Technology University,MBSTU,Universities
uni_15,নোয়াখালী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,Noakhali Science and Technology University,NSTU,Universities
uni_16,হাজী মোহাম্মদ দানেশ বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,Hajee Mohammad Danesh Science and Technology University,HSTU,Universities
uni_17,বঙ্গবন্ধু শেখ মুজিবুর রহমান কৃষি বিশ্ববিদ্যালয়,Bangabandhu Sheikh Mujibur Rahman Agricultural University,BSMRAU,Universities
uni_18,শেরেবাংলা কৃষি বিশ্ববিদ্যালয়,Sher-e-Bangla Agricultural University,SAU,Universities
uni_19,সিলেট কৃষি বিশ্ববিদ্যালয়,Sylhet Agricultural University,SAU,Universities
uni_20,যশোর বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,Jessore University of Science and Technology,JUST,Universities
