entity_id,name_bn,name_en,acronym,category
uni_crawler_1,,University of Dhaka,DU,Universities
uni_crawler_2,,University of Rajshahi,RU,Universities
uni_crawler_3,,University of Chittagong,CU,Universities
uni_crawler_4,,Jahangirnagar University,JU,Universities
uni_crawler_5,,"Islamic University, Bangladesh",IU,Universities
uni_crawler_6,,Khulna University,KU,Universities
uni_crawler_7,,Jagannath University,JnU,Universities
uni_crawler_8,,Comilla University,CoU,Universities
uni_crawler_9,,Jatiya Kabi Kazi Nazrul Islam University,JKKNIU,Universities
uni_crawler_10,,Bangladesh University of Professionals,BUP,Universities
uni_crawler_11,,Begum Rokeya University,BRUR,Universities
uni_crawler_12,,University of Barisal,BU,Universities
uni_crawler_13,,"Rabindra University, Bangladesh",RUB,Universities
uni_crawler_14,,Netrokona University,NkU,Universities
uni_crawler_15,,Kishoreganj University,KgU,Universities
uni_crawler_16,,Meherpur University,MU,Universities
uni_crawler_17,,University of Bogura,UB,Universities
uni_crawler_18,,Thakurgaon University,TU,Universities
uni_crawler_19,,Naogaon University,NaU,Universities
uni_crawler_20,,Shahjalal University of Science and Technology,SUST,Universities
uni_crawler_21,,Hajee Mohammad Danesh Science & Technology University,HSTU,Universities
uni_crawler_22,,Mawlana Bhashani Science and Technology University,MBSTU,Universities
uni_crawler_23,,Patuakhali Science and Technology University,PSTU,Universities
uni_crawler_24,,Noakhali Science and Technology University,NSTU,Universities
uni_crawler_25,,Jashore University of Science and Technology,JUST,Universities
uni_crawler_26,,Pabna University of Science and Technology,PUST,Universities
uni_crawler_27,,Gopalganj Science and Technology University,GSTU,Universities
uni_crawler_28,,Rangamati Science and Technology University,RmSTU,Universities
uni_crawler_29,,Jamalpur Science and Technology University,JSTU,Universities
uni_crawler_30,,Chandpur Science and Technology University,CSTU,Universities
uni_crawler_31,,Sunamganj Science and Technology University,SSTU,Universities
uni_crawler_32,,Lakshmipur Science and Technology University,LSTU,Universities
uni_crawler_33,,Pirojpur Science and Technology University,PrSTU,Universities
uni_crawler_34,,Satkhira University of Science and Technology,SaUST,Universities
uni_crawler_35,,Narayanganj Science and Technology University,NGSTU,Universities
uni_crawler_36,,Bangladesh University of Engineering & Technology,BUET,Universities
uni_crawler_37,,Military Institute of Science and Technology,MIST,Universities
uni_crawler_38,,Rajshahi University of Engineering & Technology,RUET,Universities
uni_crawler_39,,Khulna University of Engineering & Technology,KUET,Universities
uni_crawler_40,,Chittagong University of Engineering & Technology,CUET,Universities
